Unit Name/Value,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Unit 6,Unit 7,Unit 8,Unit 9,Unit 10,Unit 11,Unit 12,Unit 13,Unit 14,Unit 15,Unit 16,Unit 17,Unit 18,Unit 19,Unit 20,Unit 21,Unit 22,Unit 23,Unit 24,Unit 25,Unit 26,Unit 27,Unit 28,Unit 29,Unit 30,Unit 31,Unit 32,Unit 33,Unit 34,Unit 35,Unit 36,Unit 37,Unit 38,Unit 39,Unit 40,Unit 41,Unit 42,Unit 43,Unit 44,Unit 45,Unit 46,Unit 47,Unit 48,Unit 49,Unit 50
Wimalasurendra,Wimalasurendra,Wimalasurendra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Laxapana,Old Laxapana,Old Laxapana,Old Laxapana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Laxapana,Old Laxapana,Old Laxapana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Laxapana,New Laxapana,New Laxapana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polpitiya,Polpitiya,Polpitiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadlands,Broadlands,Broadlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Kotmale,Upper Kotmale,Upper Kotmale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Victoria,Victoria,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kotmale,Kotmale,Kotmale,Kotmale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randenigala,Randenigala,Randenigala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukuwela,Ukuwela,Ukuwela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowatenna,Bowatenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rantambe,Rantambe,Rantambe,Rantambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilambe,Nilambe,Nilambe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samanalawewa,Samanalawewa,Samanalawewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uma Oya,Uma Oya,Uma Oya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kukule,Kukule,Kukule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udawalawa,Udawalawa,Udawalawa,Udawalawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inginiyagala,Inginiyagala,Inginiyagala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inginiyagala,Inginiyagala,Inginiyagala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakvijaya CPP,Lakvijaya CPP,Lakvijaya CPP,Lakvijaya CPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Turbine ( Small GT 7),Gas Turbine ( Small GT 7),Gas Turbine ( Small GT 7),Gas Turbine ( Small GT 7),Gas Turbine ( Small GT 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas Turbine (GT 7),Gas Turbine (GT 7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Cycle-1,Combined Cycle-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined Cycle-2,Combined Cycle-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapugaskanda PS Station A,Sapugaskanda PS Station A,Sapugaskanda PS Station A,Sapugaskanda PS Station A,Sapugaskanda PS Station A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,Sapugaskanda PS Station B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uthuru Janani,Uthuru Janani,Uthuru Janani,Uthuru Janani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barge Mounted Plant,Barge Mounted Plant,Barge Mounted Plant,Barge Mounted Plant,Barge Mounted Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant,Containerized Emergency Plant
dankunujanani & Mathugama DPS,dankunujanani & Mathugama DPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
